Make,Model,Consumer Guide Recommendation,CLASS,Low Price,High Price,City Miles/Gallon,Highway Miles/Gallon,Horse Power,Wheel Base,Length,Front Head Room,Front Leg Room,Basic Warranty - Years,Basic Warranty - Miles
Subaru,Legacy,no,compact car,18395,24295,21,28,165,104.3,184.4,38.1,43.3,3,36000
Subaru,Outback,no,compact car,22695,26095,21,28,165,104.3,184.4,38.1,43.3,3,36000
Suzuki,Esteem/Swift,no,subcompact car,9099,16399,28,35,122,93.1,149.4,39.1,42.5,3,36000
Suzuki,Vitara,no,compact sport-utility vehicle,13499,22699,19,22,155,86.6,152,40.9,41.4,3,36000
Toyota,4Runner,Recommended,midsize sport-utility vehicle,21938,36468,17,19,183,105.3,183.3,39.3,42.6,3,36000
Toyota,Avalon,Recommended,full-size car,25195,29755,21,29,210,107.1,191.9,38.7,41.7,3,36000
Toyota,Camry/Solara,Best Buy,midsize car,17418,26098,21,28,194,105.1,190,38.3,43.3,3,36000
Toyota,Celica,Budget Buy,sports coupe,16695,21865,27,42,180,102.3,170.4,38.4,44,3,36000
Toyota,Corolla,Recommended,subcompact car,12418,15868,31,38,125,97,174,39.3,42.5,3,36000
Toyota,Echo,no,subcompact car,9995,11095,34,41,108,93.4,163.3,39.9,41.1,3,36000
Toyota,Land Cruiser,no,full-size sport-utility vehicle,50828,50828,13,16,230,112.2,192.5,40.6,42.3,3,36000
Toyota,RAV4,Recommended,compact sport-utility vehicle,16668,19128,22,25,127,94.9,163.8,40.3,39.5,3,36000
Toyota,Sienna,Recommended,minivan,21968,26934,19,24,194,114.2,193.5,40.6,41.9,3,36000
Toyota,Tacoma,Recommended,compact pickup truck,11428,25178,17,21,150,103.3,184.5,38.2,41.7,3,36000
Toyota,Tundra,Recommended,full-size pickup truck,14995,27830,15,19,245,128.3,217.5,40.3,41.5,3,36000
Volkswagen,Cabrio,no,sports coupe,19990,23300,24,31,115,97.4,160.4,38.7,42.3,2,24000
Volkswagen,EuroVan,no,minivan,31300,35510,15,20,140,115,188.5,39.3,37.8,2,24000
Volkswagen,Jetta/Golf,Recommended,subcompact car,14900,24170,20,28,174,98.9,163.3,38.5,41.3,2,24000
Volkswagen,New Beetle,Best Buy,sports coupe,15900,21075,24,31,115,98.9,161.1,41.3,39.4,2,24000
Volkswagen,Passat,Recommended,compact car,21200,28455,20,29,190,106.4,183.8,39.7,41.5,2,24000
Volvo,40 series,no,near-luxury car,22900,23900,21,28,160,100.4,176.4,38.7,41.4,4,50000
Volvo,70 series,no,near-luxury car,27500,46500,18,23,261,104.9,185.7,37.4,41.3,4,50000
Volvo,S80,no,luxury car,36000,40500,17,25,268,109.9,189.8,38.9,42.2,4,50000
